iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
QAT,2017,161099175824.176,2545820.0,0.0,25.80528601119556,14.749963749264959,153
ROU,2017,210147385855.419,19588715.0,0.0,26.0710749589027,16.79046424412793,154
RUS,2017,1574199360089.0,145293260.0,0.0,28.08476791615614,18.794264747561282,155
RWA,2017,9252833891.40871,12202060.0,0.0,22.948195708296925,16.3171154298619,156
SAU,2017,741266133333.333,30977355.0,0.0,27.33162555205938,17.248767043926755,157
SDN,2017,41283617976.1905,42714306.0,0.0,24.44373159907542,17.57004448062728,158
SEN,2017,20996562943.5979,15475002.0,0.0,23.76762459196969,16.55473657039598,159
SGP,2017,343673334902.33,5612253.0,0.0,26.562957435317486,15.540462979337086,160
SLB,2017,1469790526.3972,685672.0,0.0,21.108385729213946,13.438156116676879,161
SLE,2017,5749846528.48046,7379299.0,0.0,22.472439000874335,15.81418934112951,162
SLV,2017,24979190000.0,6213533.0,0.0,23.94130891521739,15.64224037416944,163
SMR,2017,1528620346.31168,33825.0,0.0,21.14763143176106,10.428985016533987,164
SOM,2017,7621501710.0012,14916629.0,0.0,22.75423926216279,16.51798725591345,165
SRB,2017,45972834713.8077,7020858.0,0.0,24.55131650931427,15.764396133188413,166
STP,2017,322002845.229335,206970.0,0.0,19.590070942691153,12.2403339658147,167
SUR,2017,3591679430.99988,593713.0,0.0,22.001885738414895,13.294153000913871,168
SVK,2017,95978130734.9766,5439232.0,0.0,25.287386197629207,15.50914861624467,169
SVN,2017,48153200134.6613,2066388.0,0.0,24.59765343478188,14.541313197482081,170
SWE,2017,535172356784.769,10057698.0,0.0,27.005854694175703,16.123848968839518,171
SWZ,2017,4462640651.49219,1158195.0,0.0,22.21900650232122,13.962374180132912,172
SXM,2017,1353212122.90503,38996.0,0.0,21.02574695426391,10.571239999076129,173
SYC,2017,1675370641.01416,95843.0,0.0,21.239300256559318,11.47047714870539,174
SYR,2017,16369843352.3453,19224668.0,0.0,23.518706659153878,16.771704856042614,175
TCA,2017,1197958000.0,39913.0,0.0,20.903884278429143,10.59448241852793,176
TCD,2017,13349041408.7152,15622759.0,0.0,23.314710414698887,16.56423938330971,177
TGO,2017,6387424239.8801,8057140.0,0.0,22.577596931878322,15.902069336916494,178
THA,2017,456356813536.764,71160187.0,0.0,26.8465408263068,18.080444062692088,179
TJK,2017,7536402852.85802,9085946.0,0.0,22.743010830044607,16.02223949213457,180
TKM,2017,37926285714.2857,6507061.0,0.0,24.358910263130046,15.688398606632127,181
TLS,2017,1584878439.93596,1251703.0,0.0,21.183773547918765,14.04001638096492,182
TON,2017,459976850.268529,105356.0,0.0,19.94668672285187,11.565109862207676,183
TTO,2017,23830750900.6899,1356633.0,0.0,23.89424263833232,14.120517189836695,184
TUN,2017,42163530590.9462,11650498.0,0.0,24.464821480366517,16.27085956967672,185
TUR,2017,863874522365.276,80312698.0,0.0,27.484693366461016,18.201438310871755,186
TUV,2017,45276595.3533146,10869.0,0.0,17.62830082015832,9.293761980115255,187
TWN,2017,105843498304.094,10865228.0,0.0,25.3852274089761,16.20107824830283,188
TZA,2017,53274884532.7886,55652890.0,0.0,24.698730847566726,17.834644584022023,189
UGA,2017,30744473841.424,40177388.0,0.0,24.148976102607225,17.508814932661206,190
UKR,2017,112090505081.739,45436041.0,0.0,25.442572463015644,17.631816224710168,191
URY,2017,65005997963.4822,3388438.0,0.0,24.897745378961496,15.035879901330455,192
USA,2017,19477336549000.0,326608609.0,0.0,30.60027267733087,19.604273100676117,193
UZB,2017,69703222282.7278,31819178.0,0.0,24.967512384400777,17.275579779158274,194
VCT,2017,844040740.740741,105663.0,0.0,20.553711323599835,11.5680195272798,195
VEN,2017,115883275162.586,30565323.0,0.0,25.47584927285501,17.23537672174867,196
VNM,2017,281353605986.903,95176977.0,0.0,26.362878099476827,18.37124864278546,197
VUT,2017,880043284.399407,278507.0,0.0,20.59548165218071,12.537202063251096,198
WSM,2017,884844384.463214,205415.0,0.0,20.60092235187652,12.232792470229555,199
YEM,2017,26842229044.5848,33090921.0,0.0,24.01324219498989,17.314769542912458,200
ZAF,2017,381448814653.456,57635162.0,0.0,26.667242510004904,17.869643408155873,201
ZMB,2017,25873601260.8353,17441320.0,0.0,23.97648902955717,16.674352718989415,202
ZWE,2017,51035657370.5179,14812482.0,0.0,24.65579038951676,16.51098082917964,203
ABW,2018,3276187709.49721,108908.0,0.0,21.9099462999823,11.598267950134272,0
AFG,2018,18053222687.4126,36743039.0,0.0,23.61659004808285,17.419459377931894,1
AGO,2018,89512794227.495,31297155.0,0.0,25.217647404284204,17.259037788762317,2
ALB,2018,15379508329.7568,2607733.0,0.0,23.456301832421683,14.773992202961923,3
AND,2018,3218418631.67579,75162.0,0.0,21.892155968005103,11.227414367579149,4
ARE,2018,440560108917.631,9346701.0,0.0,26.811312729128296,16.050534111769245,5
ARG,2018,524819892360.176,44654882.0,0.0,26.986320978509557,17.614474221009356,6
ARM,2018,12457940694.7395,2969000.0,0.0,23.245624063431467,14.903736090559581,7
ASM,2018,639000000.0,50908.0,0.0,20.275415013906755,10.837795004197082,8
AUS,2018,1433144978761.67,24963258.0,0.0,27.990892431159303,17.03291566185238,9
AUT,2018,452582294972.775,8840521.0,0.0,26.83823545089589,15.994856482644213,10
AZE,2018,47112470051.7701,9939771.0,0.0,24.57580355988587,16.11205464074393,11
BDI,2018,2913411408.44783,11859446.0,0.0,21.792590537168277,16.288635323128048,12
BEL,2018,542638913427.921,11427054.0,0.0,27.019709951202977,16.251494347279078,13
BEN,2018,14262408089.9261,12383347.0,0.0,23.380893108006994,16.33186322484685,14
BFA,2018,15890066221.2882,20438288.0,0.0,23.488959985031236,16.83292061138116,15
BGD,2018,321362752441.78,163523103.0,0.0,26.49583639194327,18.912464847186925,16
BGR,2018,66097226262.2191,6710798.0,0.0,24.914392620188632,15.719228577864842,17
BHR,2018,39567978723.4043,1503091.0,0.0,24.401286010028308,14.22303487777331,18
BHS,2018,12819200000.0,392717.0,0.0,23.274209884073727,12.880847076032065,19
BIH,2018,20484058033.1144,3387000.0,0.0,23.742912763686345,15.035455427046395,20
BLR,2018,60031026576.26,9438785.0,0.0,24.818127375134406,16.060337928156862,21
BLZ,2018,2285915050.0,380226.0,0.0,21.55003224108613,12.84852372177013,22
BMU,2018,7225977000.0,63831.0,0.0,22.700948286854725,11.064009910988117,23
BOL,2018,48414038842.2576,11508368.0,0.0,24.603055667355083,16.258585067790193,24
BRA,2018,1916933708352.71,206107261.0,0.0,28.281747998462308,19.143907280562598,25
BRB,2018,6001950000.0,280711.0,0.0,22.515350253540017,12.545084511703397,26
BRN,2018,13566908391.0895,437810.0,0.0,23.330899458166854,12.989542589383397,27
BTN,2018,2583335721.85904,759759.0,0.0,21.672347316620822,13.540757872916835,28
BWA,2018,17031943186.1353,2299141.0,0.0,23.558356428877687,14.648046567823089,29
CAF,2018,2220979146.11241,4878657.0,0.0,21.52121399285128,15.400380740009895,30
CAN,2018,1725329192783.02,37072620.0,0.0,28.176438984601457,17.428389276700873,31
CHE,2018,725568717468.001,8514329.0,0.0,27.31022162217877,15.95726118430902,32
CHL,2018,295857562991.709,18893191.0,0.0,26.413143969347946,16.75431220349786,33
CHN,2018,14147765772963.8,1402760000.0,0.0,30.280577831647378,21.061707562136863,34
CIV,2018,58522477786.6889,27464173.0,0.0,24.792676753071582,17.128392949666154,35
CMR,2018,39955552189.795,24806383.0,0.0,24.41103347799507,17.02661159736337,36
COD,2018,46659954092.4862,90047644.0,0.0,24.56615211968765,18.315849477106564,37
COG,2018,14773900288.5135,5483118.0,0.0,23.416127966978706,15.517184657597687,38
